iter	Passed	Remaining
0	2	370
1	4	287
2	5	239
3	6	210
4	7	192
5	8	180
6	9	173
7	10	166
8	10	160
9	12	157
10	12	153
11	13	150
12	15	149
13	16	147
14	17	144
15	18	141
16	18	137
17	19	136
18	20	134
19	21	132
20	22	130
21	23	128
22	25	130
23	26	130
24	27	128
25	28	126
26	29	125
27	30	123
28	31	123
29	32	121
30	34	120
31	35	119
32	35	117
33	36	116
34	37	115
35	39	113
36	40	112
37	41	112
38	42	111
39	43	110
40	44	109
41	45	108
42	46	106
43	47	105
44	48	104
45	49	103
46	50	101
47	52	100
48	53	99
49	54	98
50	55	97
51	56	96
52	57	94
53	58	93
54	59	92
55	60	91
56	61	90
57	62	88
58	63	87
59	64	86
60	65	85
61	66	84
62	67	83
63	68	82
64	69	80
65	71	80
66	71	79
67	72	78
68	74	77
69	75	76
70	76	75
71	77	74
72	78	73
73	79	71
74	80	70
75	81	69
76	82	68
77	83	67
78	84	66
79	85	65
80	86	64
81	87	63
82	88	62
83	89	60
84	91	60
85	93	60
86	94	58
87	96	58
88	97	57
89	98	56
90	99	54
91	100	53
92	101	52
93	102	51
94	104	50
95	105	49
96	106	48
97	107	46
98	108	45
99	109	44
100	110	43
101	111	42
102	112	41
103	113	40
104	114	39
105	115	38
106	116	36
107	117	36
108	118	34
109	119	33
110	121	32
111	122	31
112	123	30
113	124	29
114	125	28
115	126	27
116	127	26
117	128	24
118	129	23
119	130	22
120	131	21
121	132	20
122	133	19
123	134	18
124	135	17
125	136	16
126	137	15
127	138	14
128	139	13
129	140	11
130	141	10
131	142	9
132	143	8
133	145	7
134	146	6
135	147	5
136	148	4
137	149	3
138	150	2
139	151	1
140	153	0
